,Año/Comuna,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
0,2010,243946,150714,191323,234933,185301,183046,236838,219638,168681,169372,189760,211320,234846,226489,182274,3028481
1,2011,245308,150573,191536,235497,185544,183309,237389,220655,168964,169506,189795,211699,235011,226558,182295,3033639
2,2012,246689,150428,191750,236071,185789,183576,237946,221693,169248,169640,189829,212082,235178,226626,182315,3038860
3,2013,248069,150278,191963,236646,186034,183843,238505,222733,169533,169775,189861,212467,235342,226692,182335,3044076
4,2014,249433,150130,192171,237214,186276,184105,239057,223764,169814,169908,189893,212846,235506,226758,182354,3049229
5,2015,250770,149985,192375,237769,186512,184363,239597,224770,170087,170037,189925,213218,235666,226821,182372,3054267
6,2016,252053,149848,192573,238303,186740,184611,240116,225737,170353,170163,189956,213576,235819,226884,182390,3059122
7,2017,253271,149720,192763,238809,186956,184846,240607,226649,170605,170282,189986,213914,235967,226944,182409,3063728
8,2018,254408,149607,192945,239279,187159,185067,241065,227495,170842,170394,190016,214229,236107,227003,182427,3068043
9,2019,255457,149510,193115,239712,187348,185271,241484,228266,171062,170497,190046,214518,236238,227060,182445,3072029
10,2020,256405,149430,193276,240100,187518,185456,241861,228953,171264,170592,190076,214777,236358,227115,182465,3075646
11,2021,257235,149371,193425,240437,187670,185620,242188,229541,171444,170677,190105,215002,236468,227168,182485,3078836
12,2022,257934,149337,193560,240716,187800,185760,242460,230018,171600,170750,190135,215189,236566,227219,182506,3081550
13,2023,258497,149328,193682,240937,187907,185875,242674,230380,171733,170811,190165,215335,236650,227268,182528,3083770
14,2024,258922,149345,193790,241096,187991,185964,242828,230623,171839,170859,190195,215442,236723,227315,182551,3085483
15,2025,259205,149389,193884,241193,188053,186028,242921,230745,171921,170896,190225,215505,236781,227360,182574,3086680
