,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,fecha_incidente_amd,fecha_fallecimiento_amd,Rango_Edad
0,2016-0001,1/1/2016,2016,1,1,CONDUCTOR,MOTO,MASCULINO,19.0,1/1/2016,2016-01-01,2016-01-01,18-29
1,2016-0002,1/2/2016,2016,1,2,CONDUCTOR,AUTO,MASCULINO,70.0,1/2/2016,2016-01-02,2016-01-02,60+
2,2016-0003,1/3/2016,2016,1,3,CONDUCTOR,MOTO,MASCULINO,30.0,1/3/2016,2016-01-03,2016-01-03,30-39
3,2016-0004,1/10/2016,2016,1,10,CONDUCTOR,MOTO,MASCULINO,18.0,SD,2016-01-10,,18-29
4,2016-0005,1/21/2016,2016,1,21,CONDUCTOR,MOTO,MASCULINO,29.0,2/1/2016,2016-01-21,2016-02-01,18-29
5,2016-0008,1/24/2016,2016,1,24,CONDUCTOR,MOTO,MASCULINO,30.0,1/24/2016,2016-01-24,2016-01-24,30-39
6,2016-0009,1/24/2016,2016,1,24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29.0,1/26/2016,2016-01-24,2016-01-26,18-29
7,2016-0010,1/29/2016,2016,1,29,CONDUCTOR,MOTO,MASCULINO,18.0,1/29/2016,2016-01-29,2016-01-29,18-29
8,2016-0012,2/8/2016,2016,2,8,CONDUCTOR,MOTO,MASCULINO,22.0,2/8/2016,2016-02-08,2016-02-08,18-29
9,2016-0013,2/10/2016,2016,2,10,PEATON,PEATON,MASCULINO,16.0,2/10/2016,2016-02-10,2016-02-10,0-17
10,2016-0015,2/14/2016,2016,2,14,PEATON,PEATON,FEMENINO,16.0,2/14/2016,2016-02-14,2016-02-14,0-17
11,2016-0016,2/14/2016,2016,2,14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19.0,2/14/2016,2016-02-14,2016-02-14,18-29
12,2016-0017,2/15/2016,2016,2,15,PEATON,PEATON,MASCULINO,59.0,2/16/2016,2016-02-15,2016-02-16,50-59
13,2016-0019,2/17/2016,2016,2,17,PEATON,PEATON,FEMENINO,65.0,2/17/2016,2016-02-17,2016-02-17,60+
14,2016-0020,2/17/2016,2016,2,17,PEATON,PEATON,MASCULINO,59.0,3/2/2016,2016-02-17,2016-03-02,50-59
15,2016-0021,2/17/2016,2016,2,17,CONDUCTOR,AUTO,MASCULINO,34.0,2/17/2016,2016-02-17,2016-02-17,30-39
16,2016-0022,2/21/2016,2016,2,21,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41.0,SD,2016-02-21,,40-49
17,2016-0025,2/28/2016,2016,2,28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,2/28/2016,2016-02-28,2016-02-28,30-39
18,2016-0026,2/28/2016,2016,2,28,CONDUCTOR,AUTO,MASCULINO,30.0,3/4/2016,2016-02-28,2016-03-04,30-39
19,2016-0027,2/28/2016,2016,2,28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,SD,2016-02-28,,30-39
20,2016-0028,3/2/2016,2016,3,2,PEATON,PEATON,MASCULINO,50.0,3/2/2016,2016-03-02,2016-03-02,50-59
21,2016-0029,3/4/2016,2016,3,4,PEATON,PEATON,MASCULINO,38.0,3/4/2016,2016-03-04,2016-03-04,30-39
22,2016-0031,3/8/2016,2016,3,8,CONDUCTOR,MOTO,MASCULINO,21.0,SD,2016-03-08,,18-29
23,2016-0034,3/12/2016,2016,3,12,PEATON,PEATON,MASCULINO,52.0,3/12/2016,2016-03-12,2016-03-12,50-59
24,2016-0035,3/13/2016,2016,3,13,CONDUCTOR,MOTO,MASCULINO,34.0,3/13/2016,2016-03-13,2016-03-13,30-39
25,2016-0036,3/14/2016,2016,3,14,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36.0,3/14/2016,2016-03-14,2016-03-14,30-39
26,2016-0037,3/19/2016,2016,3,19,CONDUCTOR,MOTO,MASCULINO,20.0,3/19/2016,2016-03-19,2016-03-19,18-29
27,2016-0038,3/21/2016,2016,3,21,PEATON,PEATON,MASCULINO,29.0,3/21/2016,2016-03-21,2016-03-21,18-29
28,2016-0039,3/23/2016,2016,3,23,CONDUCTOR,MOTO,MASCULINO,20.0,3/23/2016,2016-03-23,2016-03-23,18-29
29,2016-0041,3/29/2016,2016,3,29,CONDUCTOR,MOTO,MASCULINO,54.0,3/29/2016,2016-03-29,2016-03-29,50-59
30,2016-0041,3/29/2016,2016,3,29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,,3/30/2016,2016-03-29,2016-03-30,
31,2016-0043,3/30/2016,2016,3,30,PEATON,PEATON,FEMENINO,56.0,3/30/2016,2016-03-30,2016-03-30,50-59
32,2016-0044,3/31/2016,2016,3,31,CONDUCTOR,MOTO,MASCULINO,24.0,3/31/2016,2016-03-31,2016-03-31,18-29
33,2016-0045,4/11/2016,2016,4,11,CONDUCTOR,MOTO,MASCULINO,,SD,2016-04-11,,
34,2016-0047,4/15/2016,2016,4,15,PEATON,PEATON,MASCULINO,41.0,4/15/2016,2016-04-15,2016-04-15,40-49
35,2016-0048,4/15/2016,2016,4,15,PEATON,PEATON,FEMENINO,,SD,2016-04-15,,
36,2016-0049,4/17/2016,2016,4,17,SD,SD,SD,,SD,2016-04-17,,
37,2016-0050,4/19/2016,2016,4,19,PEATON,PEATON,MASCULINO,78.0,4/19/2016,2016-04-19,2016-04-19,60+
38,2016-0051,4/20/2016,2016,4,20,CONDUCTOR,MOTO,MASCULINO,36.0,4/20/2016,2016-04-20,2016-04-20,30-39
39,2016-0052,4/20/2016,2016,4,20,SD,MOTO,SD,,SD,2016-04-20,,
40,2016-0053,4/22/2016,2016,4,22,PEATON,PEATON,MASCULINO,38.0,4/22/2016,2016-04-22,2016-04-22,30-39
41,2016-0054,4/23/2016,2016,4,23,CONDUCTOR,MOTO,MASCULINO,30.0,4/25/2016,2016-04-23,2016-04-25,30-39
42,2016-0055,4/25/2016,2016,4,25,PEATON,PEATON,MASCULINO,79.0,4/28/2016,2016-04-25,2016-04-28,60+
43,2016-0056,4/26/2016,2016,4,26,CONDUCTOR,MOTO,MASCULINO,26.0,4/26/2016,2016-04-26,2016-04-26,18-29
44,2016-0058,5/4/2016,2016,5,4,PEATON,PEATON,FEMENINO,57.0,5/8/2016,2016-05-04,2016-05-08,50-59
45,2016-0059,5/8/2016,2016,5,8,PEATON,PEATON,MASCULINO,37.0,5/26/2016,2016-05-08,2016-05-26,30-39
46,2016-0064,5/14/2016,2016,5,14,PEATON,PEATON,MASCULINO,20.0,SD,2016-05-14,,18-29
47,2016-0065,5/20/2016,2016,5,20,PEATON,PEATON,MASCULINO,20.0,5/20/2016,2016-05-20,2016-05-20,18-29
48,2016-0067,5/21/2016,2016,5,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30.0,SD,2016-05-21,,30-39
49,2016-0068,5/22/2016,2016,5,22,CONDUCTOR,MOTO,MASCULINO,58.0,SD,2016-05-22,,50-59
50,2016-0069,5/23/2016,2016,5,23,CONDUCTOR,AUTO,MASCULINO,30.0,5/23/2016,2016-05-23,2016-05-23,30-39
51,2016-0073,6/11/2016,2016,6,11,CONDUCTOR,MOTO,MASCULINO,23.0,SD,2016-06-11,,18-29
52,2016-0074,6/12/2016,2016,6,12,CONDUCTOR,AUTO,MASCULINO,60.0,SD,2016-06-12,,60+
53,2016-0075,6/12/2016,2016,6,12,PEATON,PEATON,MASCULINO,42.0,6/12/2016,2016-06-12,2016-06-12,40-49
